dnb_global_duns,label_duns
968126888,080402551
078527372,241754217
041968306,116923875
849155924,078525133
010197887,010197887
150702553,791283315
121653406,141886395
002182228,051881647
041485301,015337645
075705475,075705475
809666878,150936581
001338912,079870632
084963177,195823570
012729476,012234469
360841092,360841092
690664461,834695454
071017438,780872370
005309844,184895795
068158369,120019070
001326495,038889234
400108580,338725627
154206932,154206932
967770848,967770848
238980408,797057437
003022795,003022795
601006997,601006997
009438664,026190699
353956139,107409401
614153570,614153570
828237789,962674474
480667059,829741342
275260909,059819680
957030729,957030729
876750960,862603148
145773359,145773359
117715802,080446921
006249189,079192144
962965406,113404719
002277481,006422406
001940170,051344727
238980408,233662381
116817996,116817996
963294397,008057330
003133790,805629789
690543319,801679200
078702882,078702882
009094301,009518869
081017660,790180751
485609796,963366906
711231758,805197365
244116752,178309423
003296175,040868254
690535554,177182441
097611908,131661746
096699628,014373661
003027539,790893379
118380146,117395980
985640147,169886244
080333866,024922619
114302219,014792984
315034629,331485631
078770294,078770294
001326495,030447325
430523027,009104381
985572607,053000621
783884398,783884398
079212068,079212068
007797314,007797314
189535107,189535107
005146311,810432484
117871824,116950257
117542494,621782218
042000273,800188161
121521736,121521736
690538228,804148757
610338121,610338121
650330632,915837971
021599365,078836317
001969443,042426812
117126838,071723621
039976196,042772510
035484013,035484013
161906193,928193846
126130561,062566058
784360385,784360385
117542494,677604150
545370983,544302778
073645339,073645339
238980408,078707229
054698428,785107897
037838844,037838844
047891903,012838244
543135859,179353990
544987472,654106418
001513704,001513704
917261950,080938961
690546163,695028225
024004301,124214701
060976008,077310985
023348923,023348923
139301956,845436294
079410641,079410641
042140483,067876840
117239295,117239295
072459266,053735489
988632220,101923303
009138033,968031174
004146619,627475379
117405933,081330666
012835406,083511970
003829274,076680404
690543319,847424462
005140611,007470579
622558224,622558224
079345019,079345010
161906193,098453434
204170856,001535103
161906193,042919659
874102084,915122332
001408673,790770320
034601096,126945831
089697395,089697395
076114122,076114122
480008226,883238743
602085672,602085672
739980787,262699775
861422434,153422787
862143328,925822975
110376014,988712659
068069640,184186773
245141858,245141858
711202270,027223179
065968786,065968786
150600849,014391747
060469406,116957943
985064545,858582083
023806040,023806040
148177439,015699977
305599862,012177531
068588748,068588748
075051706,139750975
650119498,244133364
043440601,933672610
711202270,606821721
480008226,071674100
315653274,783179463
654539683,420301277
073134603,182257782
096406459,096406459
618510226,618510226
837105725,179990338
079606306,079606306
071050090,071050090
081181048,010993689
092829055,106739469
042803536,080691687
084963177,041099086
690849997,690849997
080934167,080934167
041188822,170403497
968341276,191312321
968393996,111852070
315544593,001177906
929538999,015151876
079558168,081340969
004305215,808847628
203378927,001316884
959855081,161025333
017642837,017642837
012835406,962689720
601235484,601235484
614294077,614294077
073271827,073271827
060942080,063753431
118822795,118822795
187050133,187050133
082686916,116936263
062649876,869019794
002277481,078667777
068588748,012260852
072633464,072633464
932895308,117181770
042535740,079928398
420094818,079183231
080732588,031405563
482366101,095864104
063722102,078512052
004148292,022087391
962476029,962476029
401046415,449040773
092487347,092487347
173570271,097193081
077785525,037970851
117006736,117006736
847060225,847060225
079169337,079169337
862257719,918451696
116982084,057234359
054554290,809188386
181871427,018018052
001408673,790912534
001326495,184597573
739980787,078321423
957126931,835175063
967697686,883055162
001344381,829517189
071152786,080209391
862179079,650891380
725656438,725656438
001307081,137408241
080145868,081154447
073133787,878072651
305599862,032291770
004215968,004215968
004162038,004162038
032472566,032472566
783980345,079650231
480259820,008018525
029644978,029644978
274300938,274300938
554381876,080549024
029618279,029618279
185421518,185421518
073757627,828983189
654682061,827954269
006173082,078671244
144507811,144507811
046862181,081231947
058625146,132224549
690553888,824771724
987859923,065868364
041002973,040761934
057247750,057247750
613947738,072605439
087037362,080030151
001053610,791861615
078311051,080023392
138059287,138059287
118303883,932323652
315741173,829988930
001307081,017034880
867704355,154141147
074512559,074512559
538580692,102663713
081373036,966985624
161906193,015333032
834569816,834569816
054554290,046274212
063140750,043694673
739980787,080485797
243577645,794301960
687897470,073903937
969557438,969557438
211245835,230804692
275940476,040442349
144814931,144814931
001778349,111238943
118255609,159070825
210272498,827731451
187421961,187421961
421312746,421293287
480004571,001213784
117086505,117086505
002406502,808100197
282406958,271085545
243628521,879723401
650069743,650369221
539763727,537994803
370053142,079299502
001307081,084894661
072659238,124308102
828237789,051762268
110385262,110385262
151148137,836503243
967697686,079195503
464217736,049871288
001326495,757868963
080123075,036782709
611641312,143309727
808329028,808329028
075265157,878350834
078458370,079161098
097537435,152895186
078870124,078870124
364601877,364601877
068715424,796036473
490014655,161096698
446360484,437721244
967697686,006026994
117052210,002211324
723719865,155269939
072042443,824799407
144246253,197119873
315653274,784107856
372095877,780565636
001408673,205475333
080559509,080559509
125131669,044793095
147327340,147327340
215576498,002020880
080611700,080611700
007004745,081130608
009438664,059076732
844985374,844985374
002103125,002103125
238980408,879821635
828467584,078320114
051099661,001773076
753243823,942344649
305394157,145866096
001408673,081129894
053785812,946976276
067447086,067447086
002108371,002108371
003133790,928325286
815555566,967289799
056647050,056647050
305599862,079459964
002507622,002507622
611641312,159990456
224297798,195903104
073983827,073983827
021416427,021416427
